id_transaccion,fecha_compra,id_cliente,categoria_producto,precio_cop,metodo_pago,canal,dispositivo,ciudad_envio,tiempo_entrega_dias,calificacion_cliente_1a5,producto_devuelto
TXN-0005239,2022-12-28,14770,Hogar,159466,Tarjeta crédito,Sitio web,iOS,Pereira,5,5,No
TXN-0000262,2023-10-14,53229,Alimentos,72452,Tarjeta débito,Sitio web,Desktop,Cali,3,5,No
TXN-IMPUTADO-0001,2022-05-04,19901,Hogar,162086,PSE,Sitio web,iOS,Cali,3,5,No
TXN-0005784,2024-11-05,49799,Alimentos,41165,PSE,App móvil,Desktop,Bogotá,2,5,No
TXN-0001234,2022-05-16,31720,Tecnología,1138137,Tarjeta débito,Sitio web,Android,Bogotá,4,5,No
TXN-0006449,2022-03-05,55252,Belleza,145836,Tarjeta débito,App móvil,Desktop,Bogotá,3,5,No
TXN-0006413,2023-04-15,24032,Alimentos,18991,PSE,Sitio web,Desktop,Pereira,1,5,No
TXN-0000921,2024-10-09,27241,Libros,52010,Billetera digital,App móvil,iOS,Cartagena,6,5,No
TXN-0000159,2022-12-23,16367,Electrónica,539952,Tarjeta crédito,App móvil,Android,Manizales,3,5,No
TXN-0007744,2024-02-18,42036,Deportes,210820,Billetera digital,Sitio web,Android,Bogotá,5,5,No
TXN-0002626,2022-04-26,39355,Deportes,119067,PSE,App móvil,Desktop,Cali,3,5,No
TXN-0006757,2024-07-14,25510,Alimentos,55008,Contraentrega,App móvil,Android,Ibagué,2,5,No
TXN-0000095,2022-04-05,35663,Deportes,132332,Tarjeta débito,App móvil,Android,Medellín,1,5,Sí
TXN-0003202,2023-10-18,22224,Hogar,228755,Contraentrega,App móvil,iOS,Cali,6,5,No
TXN-0006929,2022-11-16,39785,Moda,104802,Tarjeta débito,Sitio web,iOS,Medellín,3,5,No
TXN-0001093,2024-06-07,20968,Hogar,261015,Billetera digital,App móvil,Android,Bogotá,6,5,No
TXN-0003533,2023-11-03,23406,Alimentos,48707,Tarjeta crédito,Sitio web,Android,Bogotá,3,5,No
TXN-0007405,2024-03-11,53989,Belleza,11611,Contraentrega,App móvil,iOS,Cali,4,5,No
TXN-0007394,2022-12-09,37474,Electrónica,847082,Tarjeta crédito,App móvil,iOS,Cúcuta,3,5,No
TXN-0001988,2023-05-25,12694,Alimentos,41301,Tarjeta débito,Sitio web,Android,Cali,6,5,Sí
TXN-0002718,2023-04-28,35151,Belleza,68008,Contraentrega,Sitio web,Android,Bogotá,8,3,No
TXN-0003978,2022-11-19,17965,Deportes,40725,Tarjeta crédito,App móvil,Android,Cali,6,5,No
TXN-0001454,2024-02-20,11867,Deportes,211276,PSE,Sitio web,Android,Bogotá,5,5,No
TXN-0006702,2023-07-19,14949,Moda,129658,Tarjeta crédito,Sitio web,Desktop,Medellín,5,5,No
TXN-0005844,2023-02-13,21174,Moda,119780,PSE,App móvil,Android,Bogotá,4,5,Sí
TXN-0002489,2023-11-26,33472,Deportes,190363,PSE,App móvil,Android,Cali,4,5,No
TXN-0000323,2022-07-16,44653,Hogar,217344,Tarjeta crédito,App móvil,Android,Cartagena,6,5,No
TXN-0001072,2024-01-20,17674,Juguetes,81089,PSE,Sitio web,iOS,Bogotá,3,5,No
TXN-0007633,2023-05-28,34440,Belleza,86193,PSE,Sitio web,Android,Medellín,4,5,No
TXN-0004694,2022-05-16,35534,Moda,185018,Tarjeta crédito,App móvil,Android,Cali,1,5,No
TXN-0005390,2024-03-27,44038,Hogar,143343,Tarjeta crédito,Sitio web,iOS,Bogotá,6,5,No
TXN-0004560,2022-12-17,19890,Belleza,72747,Tarjeta crédito,App móvil,iOS,Pereira,3,5,No
TXN-0002583,2022-03-18,37759,Hogar,203482,Tarjeta crédito,App móvil,iOS,Cúcuta,5,5,No
